qty,item_i,gst_i,purchase_d
4,122464,2639949,23/08/2016_00:00:00
1,99091,4935278,16/08/2015_00:00:00
1,119976,3479638,18/12/2015_00:00:00
1,22501,257693,06/08/2016_00:00:00
1,23785,1912070,06/01/2016_00:00:00
1,98337,4494737,18/02/2016_00:00:00
1,43118,2376181,18/02/2016_00:00:00
1,69272,2262224,06/04/2016_00:00:00
1,242693,3930024,14/03/2017_00:00:00
1,211600,4752415,27/03/2016_00:00:00
1,84756,1017018,29/06/2016_00:00:00
2,43138,2482638,06/11/2016_00:00:00
1,245798,2405074,02/09/2015_00:00:00
2,40868,2549794,04/03/2016_00:00:00
2,87990,1614510,29/10/2016_00:00:00
3,170396,1904015,23/10/2015_00:00:00
1,51613,3838179,09/04/2016_00:00:00
2.04,110408,1123536,21/01/2016_00:00:00
1,98741,185169,25/01/2017_00:00:00
2,165992,350518,01/10/2015_00:00:00
1,103103,2020816,08/09/2015_00:00:00
2,101862,1173538,03/03/2017_00:00:00
1,64479,2213602,27/11/2015_00:00:00
1,222249,1331044,06/10/2016_00:00:00
1,138927,2773617,24/09/2015_00:00:00
1,60554,2549794,23/08/2016_00:00:00
1,67822,2742150,02/06/2016_00:00:00
2,41857,3572764,02/03/2016_00:00:00
1,105291,1295937,08/11/2016_00:00:00
1,116920,2877757,06/12/2016_00:00:00
1,57213,908560,20/03/2016_00:00:00
2,245643,101393,08/12/2016_00:00:00
1,189534,3932330,11/11/2016_00:00:00
1,112135,4264338,22/01/2017_00:00:00
1,41542,690939,05/03/2017_00:00:00
3,138436,635476,25/01/2016_00:00:00
1,45716,4049962,26/12/2015_00:00:00
2,116935,4278683,29/08/2015_00:00:00
1,64274,1212734,26/12/2015_00:00:00
1,66943,350518,30/06/2016_00:00:00
1,104856,2206715,14/09/2015_00:00:00
1,99841,2933547,19/10/2015_00:00:00
1,42615,1009636,01/10/2016_00:00:00
1,43666,2412523,05/11/2016_00:00:00
1,96136,4558722,13/04/2016_00:00:00
1,150173,863470,21/07/2016_00:00:00
1,50840,2715529,07/07/2016_00:00:00
4,46265,4242307,06/02/2017_00:00:00
1,106570,1829629,17/11/2015_00:00:00
2,98663,2897141,23/02/2017_00:00:00
4,42820,3330021,30/04/2016_00:00:00
1,143687,3500517,31/10/2015_00:00:00
1,128793,2715529,18/12/2013_00:00:00
1,106908,2767917,07/08/2016_00:00:00
1,91618,1173538,27/02/2016_00:00:00
5,196512,4317860,24/09/2015_00:00:00
1,105851,825515,15/01/2017_00:00:00
2,95184,466727,26/08/2015_00:00:00
3,43139,4171887,23/09/2016_00:00:00
4,43146,1233143,23/02/2016_00:00:00
1,171148,4207938,29/09/2016_00:00:00
1,50014,927807,28/09/2016_00:00:00
4,124937,4683283,26/06/2016_00:00:00
1,43567,2376181,09/10/2015_00:00:00
2,96973,3424944,20/11/2016_00:00:00
1,238963,2126364,25/08/2016_00:00:00
1,40566,2076336,06/12/2015_00:00:00
1,197287,3919512,04/01/2017_00:00:00
1,3666,2482638,22/09/2015_00:00:00
1,64168,2793569,20/10/2016_00:00:00
2,45603,1591857,16/09/2016_00:00:00
1,40611,4183031,26/11/2016_00:00:00
1,38537,4315268,16/01/2016_00:00:00
1,200792,2107213,09/12/2015_00:00:00
1,243459,3758154,05/05/2016_00:00:00
1,162725,4048954,17/05/2016_00:00:00
1,45796,4185084,14/03/2017_00:00:00
1,8460,1470281,10/02/2016_00:00:00
1,47323,1694812,08/02/2017_00:00:00
1,44657,4414710,21/03/2017_00:00:00
2,46061,923830,01/07/2016_00:00:00
1,89854,1250234,18/03/2017_00:00:00
1,214264,112388,14/10/2015_00:00:00
1,45517,5042368,20/02/2017_00:00:00
1,52218,657068,25/09/2015_00:00:00
2,212226,1397123,16/03/2017_00:00:00
2,96973,2429557,31/12/2016_00:00:00
1,111336,3715193,09/03/2017_00:00:00
3,56963,1127374,05/08/2016_00:00:00
1,100033,3340321,22/03/2016_00:00:00
1,127231,4278683,17/11/2015_00:00:00
1,244804,466727,02/02/2017_00:00:00
1,95394,5105133,13/09/2016_00:00:00
1,98256,2450270,25/01/2017_00:00:00
1,41777,1233143,04/03/2017_00:00:00
1,48956,2955539,05/12/2015_00:00:00
1,51792,2639949,12/08/2015_00:00:00
1,99601,81036,19/11/2015_00:00:00
1,181962,3520500,30/05/2016_00:00:00
1,241153,2180813,22/03/2016_00:00:00
1,51606,2567543,27/08/2016_00:00:00
2,50416,4518312,26/02/2016_00:00:00
1,2526,853878,03/03/2017_00:00:00
1,114607,777229,24/08/2016_00:00:00
1,,2107213,15/10/2016_00:00:00
4,41161,3544885,19/12/2016_00:00:00
2,237855,3675337,08/01/2017_00:00:00
1,242492,4049962,08/05/2016_00:00:00
1,222275,2297038,09/08/2016_00:00:00
1,110800,5052330,04/10/2015_00:00:00
1,169057,2513424,14/12/2015_00:00:00
1,50386,377551,17/10/2015_00:00:00
1,76145,167226,06/03/2016_00:00:00
1,89162,2820841,06/02/2017_00:00:00
1,40583,164480,16/03/2017_00:00:00
1,43293,3417640,28/11/2016_00:00:00
1,111090,4935278,07/03/2017_00:00:00
2.22,110407,3071456,08/05/2016_00:00:00
1,66906,129491,17/10/2016_00:00:00
1,40987,4662028,22/02/2017_00:00:00
2,59520,3208296,05/11/2016_00:00:00
